loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
3594,Kepler-890,b,Kepler-890 b,1801.46,5954.00,1.09,1.13,2016-05-10,2016,Kepler,3
3595,Kepler-891,b,Kepler-891 b,2510.77,5887.00,1.06,1.07,2016-05-10,2016,Kepler,3
3596,Kepler-892,b,Kepler-892 b,580.03,4747.00,0.75,0.72,2016-05-10,2016,Kepler,3
3597,Kepler-893,b,Kepler-893 b,1334.91,5820.00,1.00,0.99,2016-05-10,2016,Kepler,3
3598,Kepler-894,b,Kepler-894 b,1202.70,5603.00,0.87,0.85,2016-05-10,2016,Kepler,3
3599,Kepler-895,b,Kepler-895 b,548.46,4315.00,0.65,0.61,2016-05-10,2016,Kepler,3
3600,Kepler-896,b,Kepler-896 b,2515.44,5262.00,0.84,0.81,2016-05-10,2016,Kepler,3
3601,Kepler-897,b,Kepler-897 b,1589.05,5839.00,1.03,1.04,2016-05-10,2016,Kepler,3
3602,Kepler-898,b,Kepler-898 b,491.62,4223.00,0.65,0.62,2016-05-10,2016,Kepler,3
3603,Kepler-899,b,Kepler-899 b,1291.28,5595.00,0.93,0.91,2016-05-10,2016,Kepler,3
3604,Kepler-9,b,Kepler-9 b,639.82,5774.00,1.02,0.96,2019-07-11,2010,Kepler,3
3605,Kepler-9,c,Kepler-9 c,639.82,5774.00,1.02,0.96,2019-07-11,2010,Kepler,3
3606,Kepler-9,d,Kepler-9 d,639.82,5774.00,1.02,0.96,2014-05-14,2010,Kepler,3
3607,KOI-351,i,Kepler-90 i,869.51,6080.00,1.20,1.20,2017-12-14,2017,Kepler,3
3608,Kepler-900,b,Kepler-900 b,494.43,4836.00,0.78,0.73,2016-05-10,2016,Kepler,3
3609,Kepler-901,b,Kepler-901 b,255.73,4184.00,0.59,0.57,2016-05-10,2016,Kepler,3
3610,Kepler-902,b,Kepler-902 b,1204.82,5647.00,0.95,0.93,2016-05-10,2016,Kepler,3
3611,Kepler-903,b,Kepler-903 b,1425.27,5682.00,0.98,0.97,2016-05-10,2016,Kepler,3
3612,Kepler-903,c,Kepler-903 c,1425.27,5682.00,0.98,0.97,2016-05-10,2016,Kepler,3
3613,Kepler-904,b,Kepler-904 b,1006.32,6160.00,1.16,1.25,2016-05-10,2016,Kepler,3
3614,Kepler-905,b,Kepler-905 b,537.48,5461.00,0.95,0.86,2016-05-10,2016,Kepler,3
